"","UniProt_Name","Pfam_Name","Distance","Similarity_Score","V3"
"1","KH domain-containing, RNA-binding, signal transduction-associated protein 3 (RNA-binding protein T-Star) (Sam68-like mammalian protein 2) (SLM-2) (Sam68-like phosphotyrosine protein)","KH domain",0.316849816849817,0.683150183150183,"KH"
"2","KH domain-containing, RNA-binding, signal transduction-associated protein 1 (GAP-associated tyrosine phosphoprotein p62) (Src-associated in mitosis 68 kDa protein) (Sam68) (p21 Ras GTPase-activating protein-associated p62) (p68)","KH domain",0.320175438596491,0.679824561403509,"KH"
"3","KH domain-containing, RNA-binding, signal transduction-associated protein 2 (Sam68-like mammalian protein 1) (SLM-1) (hSLM-1)","KH domain",0.309333333333333,0.690666666666667,"KH"
"4","HLA class II histocompatibility antigen, DQ beta 2 chain (HLA class II histocompatibility antigen, DX beta chain) (MHC class II antigen DQB2)","Ribulose bisphosphate carboxylase large chain, catalytic domain",0.376526422439077,0.623473577560923,"TIM_barrel"
"5","SH2 domain-containing protein 1A (Duncan disease SH2-protein) (Signaling lymphocytic activation molecule-associated protein) (SLAM-associated protein) (T-cell signal transduction molecule SAP)","SH2 domain",0.315972222222222,0.684027777777778,"SH2-like"
"6","SH2 domain-containing protein 3C (Cas/HEF1-associated signal transducer) (Chat-H) (Novel SH2-containing protein 3) (SH2 domain-containing Eph receptor-binding protein 1) (SHEP1)","SH2 domain",0.314500941619586,0.685499058380414,"SH2-like"
"7","SH3 domain-containing kinase-binding protein 1 (CD2-binding protein 3) (CD2BP3) (Cbl-interacting protein of 85 kDa) (Human Src family kinase-binding protein 1) (HSB-1)","SH3 domain",0.313373253493014,0.686626746506986,"SH3"
"8","SH3 domain-binding glutamic acid-rich-like protein 3 (SH3 domain-binding protein 1) (SH3BP-1) (TNF inhibitory protein B1) (TIP-B1)","SH3 domain",0.307692307692308,0.692307692307692,"SH3"
"9","SH3 domain-binding glutamic acid-rich-like protein 2 (Fovea-associated SH3 domain-binding protein)","SH3 domain",0.299319727891157,0.700680272108843,"SH3"
"10","Transforming growth factor beta-1-induced transcript 1 protein (Androgen receptor coactivator 55 kDa protein) (Androgen receptor-associated protein of 55 kDa) (Hydrogen peroxide-inducible clone 5 protein) (Hic-5)","Transforming growth factor beta like domain",0.316892125700546,0.683107874299454,"Cystine-knot"
"11","12S rRNA N(4)-cytidine methyltransferase METTL15 (12S rRNA m4C methyltransferase) (EC 2.1.1.-) (Methyltransferase 5 domain-containing protein 1) (Methyltransferase-like protein 15)","Actin",0.324074074074074,0.675925925925926,"Actin_ATPase"
"12","Actin-binding LIM protein 1 (abLIM-1) (Actin-binding LIM protein family member 1) (Actin-binding double zinc finger protein) (LIMAB1) (Limatin)","Actin",0.321678321678322,0.678321678321678,"Actin_ATPase"
"13","Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC)","Actin",0.313725490196079,0.686274509803921,"Actin_ATPase"
"14","Alpha-N-acetylneuraminate alpha-2,8-sialyltransferase ST8SIA3 (EC 2.4.3.-) (Alpha-2,8-sialyltransferase 8C) (Alpha-2,8-sialyltransferase III) (Ganglioside GD3 synthase ST8SIA3) (EC 2.4.3.8) (ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3) (Sia-a2,3-Gal-b1,4-Glc-NAc-R:a2,8-sialyltransferase) (hST8Sia III) (Sialyltransferase 8C) (SIAT8-C) (Sialyltransferase St8Sia III) (ST8SiaIII)","Actin",0.3957805907173,0.6042194092827,"Actin_ATPase"
"15","Hypocretin neuropeptide precursor (Hypocretin) (Hcrt) (Orexin precursor) (Prepro-orexin) (Preprohypocretin) [Cleaved into: Orexin-A (Hypocretin-1) (Hcrt1); Orexin-B (Hypocretin-2) (Hcrt2)]","Actin",0.39290780141844,0.60709219858156,"Actin_ATPase"
"16","Acyl-protein thioesterase 1 (APT-1) (hAPT1) (EC 3.1.2.-) (Lysophospholipase 1) (Lysophospholipase I) (LPL-I) (LysoPLA I) (Palmitoyl-protein hydrolase) (EC 3.1.2.22)","Actin",0.323170731707317,0.676829268292683,"Actin_ATPase"
"17","UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1 (Beta-1,3-GalNAc-T1) (EC 2.4.1.79) (Beta-1,3-galactosyltransferase 3) (Beta-1,3-GalTase 3) (Beta3Gal-T3) (Beta3GalT3) (b3Gal-T3) (Beta-3-Gx-T3) (Galactosylgalactosylglucosylceramide beta-D-acetyl-galactosaminyltransferase) (Globoside synthase) (UDP-N-acetylgalactosamine:globotriaosylceramide beta-1,3-N-acetylgalactosaminyltransferase)","Actin",0.329081632653061,0.670918367346939,"Actin_ATPase"
"18","Actin-like protein 6B (53 kDa BRG1-associated factor B) (Actin-related protein Baf53b) (ArpNalpha) (BRG1-associated factor 53B) (BAF53B)","Actin",0.321078431372549,0.678921568627451,"Actin_ATPase"
"19","Actin-binding LIM protein 3 (abLIM-3) (Actin-binding LIM protein family member 3)","Actin",0.31275720164609,0.68724279835391,"Actin_ATPase"
"20","RasGAP-activating-like protein 1 (RAS protein activator like 1) (Ras GTPase-activating-like protein)","Actin",0.316666666666667,0.683333333333333,"Actin_ATPase"
"21","Acyl-protein thioesterase 2 (APT-2) (EC 3.1.2.-) (Lysophospholipase II) (LPL-II) (LysoPLA II) (Palmitoyl-protein hydrolase) (EC 3.1.2.22)","Actin",0.321167883211679,0.678832116788321,"Actin_ATPase"
"22","Actin-like protein 6A (53 kDa BRG1-associated factor A) (Actin-related protein Baf53a) (ArpNbeta) (BRG1-associated factor 53A) (BAF53A) (INO80 complex subunit K)","Actin",0.322981366459627,0.677018633540373,"Actin_ATPase"
"23","HLA class II histocompatibility antigen, DQ alpha 2 chain (DX alpha chain) (HLA class II histocompatibility antigen, DQ(6) alpha chain) (HLA-DQA1) (MHC class II DQA2)","Actin",0.38995983935743,0.61004016064257,"Actin_ATPase"
"24","Alpha-crystallin A chain (Heat shock protein beta-4) (HspB4) (Heat shock protein family B member 4) [Cleaved into: Alpha-crystallin A(1-172); Alpha-crystallin A(1-168); Alpha-crystallin A(1-162)]","Actin",0.324786324786325,0.675213675213675,"Actin_ATPase"
"25","Alpha-crystallin B chain (Alpha(B)-crystallin) (Heat shock protein beta-5) (HspB5) (Heat shock protein family B member 5) (Renal carcinoma antigen NY-REN-27) (Rosenthal fiber component)","Actin",0.324324324324324,0.675675675675676,"Actin_ATPase"
"26","Alpha-2-HS-glycoprotein (Alpha-2-Z-globulin) (Ba-alpha-2-glycoprotein) (Fetuin-A) [Cleaved into: Alpha-2-HS-glycoprotein chain A; Alpha-2-HS-glycoprotein chain B]","Actin",0.323045267489712,0.676954732510288,"Actin_ATPase"
"27","Alpha-1B-glycoprotein (Alpha-1-B glycoprotein)","Actin",0.297101449275362,0.702898550724638,"Actin_ATPase"
"28","HLA class II histocompatibility antigen gamma chain (HLA-DR antigens-associated invariant chain) (Ia antigen-associated invariant chain) (Ii) (CD antigen CD74) [Cleaved into: Class-II-associated invariant chain peptide (CLIP)]","Actin",0.392625368731564,0.607374631268436,"Actin_ATPase"
"29","3-ketoacyl-CoA thiolase, peroxisomal (EC 2.3.1.16) (Acetyl-CoA C-myristoyltransferase) (EC 2.3.1.155) (Acetyl-CoA acyltransferase) (EC 2.3.1.9) (Beta-ketothiolase) (Peroxisomal 3-oxoacyl-CoA thiolase)","Actin",0.391666666666667,0.608333333333333,"Actin_ATPase"
"30","Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1)","Actin",0.31858407079646,0.68141592920354,"Actin_ATPase"
"31","DNA (cytosine-5)-methyltransferase 1 (Dnmt1) (EC 2.1.1.37) (CXXC-type zinc finger protein 9) (DNA methyltransferase HsaI) (DNA MTase HsaI) (M.HsaI) (MCMT)","Actin",0.322510822510822,0.677489177489178,"Actin_ATPase"
"32","mRNA decay activator protein ZFP36 (G0/G1 switch regulatory protein 24) (Growth factor-inducible nuclear protein NUP475) (Tristetraprolin) (Zinc finger protein 36) (Zfp-36)","Actin",0.323643410852713,0.676356589147287,"Actin_ATPase"
"33","Activin receptor type-2A (EC 2.7.11.30) (Activin receptor type IIA) (ACTR-IIA) (ACTRIIA)","Actin",0.314393939393939,0.685606060606061,"Actin_ATPase"
